lemma,count,distinct_hymns,upos_breakdown
dyāvākṣam,8,8,{'NOUN': 8}
tūrv,8,8,{'VERB': 8}
pāñcajanya,8,8,{'ADJ': 8}
pitumat,8,8,{'ADJ': 8}
saṃdhā,8,8,{'VERB': 8}
uc,8,8,{'VERB': 8}
śūna,8,8,{'NOUN': 8}
indravat,8,8,{'ADJ': 8}
saṃvatsara,8,6,{'NOUN': 8}
sakṣaṇi,8,8,{'ADJ': 8}
vyaśva,8,6,{'NOUN': 8}
aruṇī,8,8,{'NOUN': 8}
prut,8,8,{'ADJ': 8}
pataṃga,8,6,{'NOUN': 8}
javīyas,8,8,{'ADJ': 8}
agastya,8,8,{'NOUN': 8}
purājā,8,8,{'ADJ': 8}
pruṣāy,8,6,{'VERB': 8}
arjuna,8,8,"{'NOUN': 1, 'ADJ': 7}"
vitaram,8,8,{'ADV': 8}
bhāj,8,8,{'ADJ': 8}
sakhīy,8,8,{'VERB': 8}
dvāra,8,8,{'NOUN': 8}
parīvṛ,8,7,{'VERB': 8}
asmatrā,8,7,{'ADV': 8}
agru,8,7,{'ADJ': 8}
yoṣan,8,8,{'NOUN': 8}
samṛch,8,8,{'VERB': 8}
āśuṣ,8,7,{'VERB': 8}
śamitṛ,8,7,{'NOUN': 8}
gātra,8,4,{'NOUN': 8}
parus,8,6,{'NOUN': 8}
citta,8,8,{'NOUN': 8}
svaj,8,7,{'VERB': 8}
vāka,8,5,{'NOUN': 8}
māyu,8,3,{'NOUN': 8}
śambhaviṣṭha,8,8,{'ADJ': 8}
pṛtanāṣāh,8,8,"{'ADJ': 6, 'NOUN': 2}"
vivāc,8,8,"{'NOUN': 4, 'ADJ': 4}"
am,8,6,{'VERB': 8}
sajātya,8,8,{'NOUN': 8}
pan,8,8,{'VERB': 8}
upasad,8,8,"{'NOUN': 1, 'VERB': 7}"
janya,8,8,"{'NOUN': 3, 'ADJ': 5}"
paura,8,6,"{'ADJ': 1, 'NOUN': 7}"
kṛśa,8,8,"{'ADJ': 5, 'NOUN': 3}"
ūrjay,8,8,{'VERB': 8}
gambhīra,8,7,"{'ADJ': 7, 'NOUN': 1}"
bṛhant,8,8,{'NOUN': 8}
viśvāmitra,8,5,{'NOUN': 8}
purudaṃsa,8,8,{'ADJ': 8}
ukthin,8,8,{'ADJ': 8}
tapiṣṭha,8,8,{'ADJ': 8}
antarā,8,7,{'ADV': 8}
īvat,8,8,{'ADJ': 8}
durgaha,8,8,{'NOUN': 8}
madhyaṃdina,8,7,{'NOUN': 8}
vibhrāj,8,6,"{'VERB': 6, 'ADJ': 2}"
variṣṭha,8,8,{'ADJ': 8}
svarṇṛ,8,8,{'NOUN': 8}
duḥṣvapnya,8,4,{'NOUN': 8}
maṇḍūka,8,3,{'NOUN': 8}
apsujit,8,3,{'ADJ': 8}
tuś,8,7,{'VERB': 8}
sapatna,8,5,{'NOUN': 8}
aptur,7,6,{'ADJ': 7}
vibhūti,7,7,"{'ADJ': 6, 'NOUN': 1}"
yaśasvat,7,7,{'ADJ': 7}
vṛṣaṇa,7,6,"{'ADJ': 3, 'NOUN': 4}"
upasthā,7,7,{'VERB': 7}
rakṣasvin,7,6,{'ADJ': 7}
amīva,7,7,{'NOUN': 7}
tanūnapāt,7,7,{'NOUN': 7}
ghṛtasnu,7,7,{'ADJ': 7}
tarpay,7,7,{'VERB': 7}
īṅkhay,7,5,{'VERB': 7}
sūnṛtāvat,7,7,{'ADJ': 7}
apaguh,7,7,{'VERB': 7}
candramas,7,7,{'NOUN': 7}
dyumattama,7,7,{'ADJ': 7}
śaṃsay,7,1,{'VERB': 7}
enā,7,7,{'ADV': 7}
trikadruka,7,7,{'NOUN': 7}
sāyaka,7,7,"{'NOUN': 6, 'ADJ': 1}"
vadhri,7,6,{'ADJ': 7}
nada,7,6,{'NOUN': 7}
pariṣṭhā,7,7,"{'VERB': 5, 'ADJ': 1, 'NOUN': 1}"
hanman,7,6,{'NOUN': 7}
śapha,7,7,{'NOUN': 7}
skambh,7,6,{'VERB': 7}
abhivṛ,7,7,{'VERB': 7}
vītama,7,7,{'ADJ': 7}
medhyātithi,7,5,{'NOUN': 7}
vihvā,7,7,{'VERB': 7}
psaras,7,7,{'NOUN': 7}
aritra,7,7,{'NOUN': 7}
tāyu,7,7,{'NOUN': 7}
bhuraṇy,7,7,{'VERB': 7}
nāśay,7,4,{'VERB': 7}
vicar,7,7,{'VERB': 7}
sasa,7,7,{'NOUN': 7}
arbuda,7,6,{'NOUN': 7}
coditṛ,7,7,{'ADJ': 7}
vavra,7,6,{'NOUN': 7}
hrada,7,7,{'NOUN': 7}
saṃgrah,7,7,{'VERB': 7}
dvis,7,7,{'ADV': 7}
ṛbhvas,7,7,{'ADJ': 7}
dudhra,7,7,{'ADJ': 7}
mīḍha,7,7,{'NOUN': 7}
apāvṛ,7,7,{'VERB': 7}
sthūṇā,7,5,{'NOUN': 7}
kīrti,7,7,{'NOUN': 7}
taṣṭṛ,7,7,{'NOUN': 7}
apastama,7,7,{'ADJ': 7}
marman,7,6,{'NOUN': 7}
varāha,7,7,{'NOUN': 7}
amatra,7,7,"{'ADJ': 2, 'NOUN': 5}"
daśagva,7,7,{'NOUN': 7}
sanemi,7,7,"{'ADV': 6, 'ADJ': 1}"
kratumat,7,7,{'ADJ': 7}
vivrata,7,6,{'ADJ': 7}
śoka,7,7,"{'ADJ': 1, 'NOUN': 6}"
vibhṛ,7,7,{'VERB': 7}
adhī,7,6,{'VERB': 7}
padavī,7,6,"{'NOUN': 2, 'ADJ': 5}"
nimiṣ,7,7,"{'NOUN': 4, 'VERB': 3}"
apasyu,7,7,{'ADJ': 7}
rajiṣṭha,7,7,{'ADJ': 7}
bhakṣ,7,7,{'VERB': 7}
vagnu,7,7,{'NOUN': 7}
sveda,7,6,"{'ADJ': 2, 'NOUN': 5}"
vithura,7,6,{'ADJ': 7}
udbhid,7,6,{'ADJ': 7}
nivid,7,7,{'NOUN': 7}
abhimātiṣāh,7,7,{'ADJ': 7}
anāgāstva,7,7,{'NOUN': 7}
dakṣiṇatas,7,7,{'ADV': 7}
pratnathā,7,7,{'ADV': 7}
sṛpra,7,7,{'ADJ': 7}
aśuṣa,7,7,{'ADJ': 7}
śatamūti,7,6,{'ADJ': 7}
puṣṭa,7,5,{'NOUN': 7}
pravācana,7,5,{'NOUN': 7}
mantu,7,7,{'NOUN': 7}
śroṇa,7,7,{'ADJ': 7}
gras,7,7,{'VERB': 7}
kiyat,7,5,{'ADJ': 7}
maṅgala,7,5,{'ADJ': 7}
pragā,7,6,{'VERB': 7}
paritakmyā,7,7,{'NOUN': 7}
karaṇa,7,6,"{'ADJ': 1, 'NOUN': 6}"
rap,7,6,{'VERB': 7}
svapna,7,7,{'NOUN': 7}
pānta,7,5,{'NOUN': 7}
varivasy,7,6,{'VERB': 7}
paścā,7,6,{'ADV': 7}
vāraṇa,7,7,"{'NOUN': 3, 'ADJ': 4}"
hiṃs,7,7,{'VERB': 7}
ākṛ,7,7,{'VERB': 7}
voḍhṛ,7,7,{'NOUN': 7}
saṃcar,7,7,{'VERB': 7}
sutuka,7,6,{'ADJ': 7}
jm,7,6,{'NOUN': 7}
sauśravasa,7,7,"{'NOUN': 6, 'ADJ': 1}"
purīṣa,7,6,{'NOUN': 7}
bhoga,7,7,{'NOUN': 7}
jarbhur,7,7,{'VERB': 7}
ja,7,7,{'ADJ': 7}
parāñc,7,6,{'ADJ': 7}
apāñc,7,7,{'ADJ': 7}
chaday,7,7,{'VERB': 7}
mānya,7,6,{'NOUN': 7}
vedyā,7,7,{'NOUN': 7}
ratheṣṭhā,7,6,{'ADJ': 7}
ṛtasāp,7,7,{'ADJ': 7}
vīta,7,7,{'ADJ': 7}
pravatvat,7,4,{'ADJ': 7}
suvidatra,7,6,{'ADJ': 7}
ūrmyā,7,7,{'NOUN': 7}
vyathis,7,7,{'NOUN': 7}
bhārata,7,5,"{'NOUN': 3, 'ADJ': 4}"
vacasyā,7,7,{'NOUN': 7}
kāmay,7,6,{'VERB': 7}
udañc,7,7,{'ADJ': 7}
ātṛ,7,6,{'VERB': 7}
vīḍay,7,6,{'VERB': 7}
udrin,7,6,{'ADJ': 7}
rīti,7,7,{'NOUN': 7}
praṇetṛ,7,7,"{'NOUN': 6, 'ADJ': 1}"
mātrā,7,7,{'NOUN': 7}
samanyu,7,6,{'ADJ': 7}
naptṛ,7,6,{'NOUN': 7}
bṛhatī,7,7,{'NOUN': 7}
vijāvan,7,7,{'ADJ': 7}
śoci,7,7,{'NOUN': 7}
āyam,7,7,{'VERB': 7}
dhāna,7,6,"{'NOUN': 1, 'ADJ': 6}"
adrogha,7,7,{'ADJ': 7}
bhūta,7,6,{'NOUN': 7}
tak,7,6,{'VERB': 7}
apahan,7,5,{'VERB': 7}
duṣkṛt,7,5,{'ADJ': 7}
iṣaṇy,7,7,{'VERB': 7}
viṣuṇa,7,7,{'ADJ': 7}
kārin,7,7,{'ADJ': 7}
anāga,7,7,{'ADJ': 7}
cariṣṇu,7,6,{'ADJ': 7}
sabādhas,7,6,{'ADJ': 7}
pakti,7,5,{'NOUN': 7}
sadāvṛdha,7,7,{'ADJ': 7}
tūtuji,7,5,{'ADJ': 7}
eray,7,7,{'VERB': 7}
āṅgirasa,7,7,"{'NOUN': 5, 'ADJ': 2}"
vāhiṣṭha,7,5,{'ADJ': 7}
vāstoṣpati,7,5,{'NOUN': 7}
caniṣṭha,7,6,{'ADJ': 7}
vadhryaśva,7,2,{'NOUN': 7}
praviś,7,4,{'VERB': 7}
setu,7,7,{'NOUN': 7}
ūru,7,6,{'NOUN': 7}
sobhari,7,5,{'NOUN': 7}
viśvakarman,7,4,{'NOUN': 7}
śoṇa,6,6,{'ADJ': 6}
rohay,6,6,{'VERB': 6}
pradhana,6,6,{'NOUN': 6}
caru,6,6,{'NOUN': 6}
niṣṣidh,6,6,{'NOUN': 6}
camūṣad,6,6,{'ADJ': 6}
patnīvat,6,6,{'ADJ': 6}
saprathastama,6,6,{'ADJ': 6}
stomya,6,6,{'ADJ': 6}
adhvarīy,6,5,{'VERB': 6}
parācais,6,6,{'ADV': 6}
dvādaśan,6,4,{'NUM': 6}
arbhaka,6,6,"{'NOUN': 1, 'ADJ': 5}"
svāpay,6,5,{'VERB': 6}
kapota,6,2,{'NOUN': 6}
purūravas,6,2,{'NOUN': 6}
vyaṃsa,6,6,"{'ADJ': 1, 'NOUN': 5}"
āvṛj,6,6,{'VERB': 6}
vedana,6,6,"{'NOUN': 5, 'ADJ': 1}"
navedas,6,6,{'ADJ': 6}
oman,6,6,{'NOUN': 6}
āhāva,6,4,{'NOUN': 6}
upayā,6,6,{'VERB': 6}
ekādaśa,6,6,{'ADJ': 6}
āsthā,6,6,{'VERB': 6}
aṣṭan,6,6,{'NUM': 6}
kakubh,6,6,{'NOUN': 6}
upastuta,6,4,{'NOUN': 6}
turvīti,6,6,{'NOUN': 6}
guru,6,6,{'ADJ': 6}
pratūrti,6,6,"{'ADJ': 3, 'NOUN': 3}"
vimuc,6,6,"{'NOUN': 3, 'VERB': 3}"
dvayāvin,6,6,{'ADJ': 6}
mith,6,5,{'VERB': 6}
śruṣṭīvan,6,6,{'ADJ': 6}
jaray,6,6,{'VERB': 6}
pakṣin,6,5,"{'NOUN': 1, 'ADJ': 5}"
adhiṣṭhā,6,6,{'VERB': 6}
inakṣ,6,6,{'VERB': 6}
menā,6,6,{'NOUN': 6}
yūpa,6,5,{'NOUN': 6}
aśvayu,6,6,{'ADJ': 6}
sambhṛta,6,5,{'ADJ': 6}
addhā,6,6,{'ADV': 6}
varīman,6,5,{'NOUN': 6}
kartṛ,6,6,"{'ADJ': 2, 'NOUN': 4}"
saniṣyu,6,6,{'ADJ': 6}
saṃśā,6,6,{'VERB': 6}
ayāsya,6,6,"{'NOUN': 4, 'ADJ': 2}"
hastin,6,6,"{'NOUN': 4, 'ADJ': 2}"
roman,6,6,{'NOUN': 6}
cetiṣṭha,6,6,{'ADJ': 6}
kanī,6,6,{'NOUN': 6}
śuṣka,6,6,{'ADJ': 6}
dṛp,6,6,{'VERB': 6}
svādman,6,6,{'NOUN': 6}
bali,6,6,{'NOUN': 6}
sravat,6,6,{'NOUN': 6}
atandra,6,6,{'ADJ': 6}
vāh,6,6,{'NOUN': 6}
dhanaṃjaya,6,6,{'ADJ': 6}
upabdi,6,5,{'NOUN': 6}
smi,6,6,{'VERB': 6}
anuṣvadham,6,6,{'ADV': 6}
joṣay,6,5,{'VERB': 6}
ājan,6,6,{'VERB': 6}
stuti,6,6,{'NOUN': 6}
arādhas,6,6,{'ADJ': 6}
śaryaṇāvant,6,6,{'NOUN': 6}
kadācana,6,6,{'ADV': 6}
patvan,6,6,"{'ADJ': 3, 'NOUN': 3}"
vāṇa,6,6,{'NOUN': 6}
raṇya,6,5,"{'NOUN': 3, 'ADJ': 3}"
ṛjūy,6,6,{'VERB': 6}
nīti,6,5,{'NOUN': 6}
dakṣāyya,6,6,{'ADJ': 6}
prataraṇa,6,6,{'ADJ': 6}
aṣāḍha,6,6,{'ADJ': 6}
vij,6,6,"{'NOUN': 2, 'VERB': 4}"
śvit,6,6,{'VERB': 6}
sādhay,6,5,{'VERB': 6}
sima,6,6,{'PRON': 6}
samiti,6,6,{'NOUN': 6}
pura,6,6,{'NOUN': 6}
nīthā,6,6,{'NOUN': 6}
nāhuṣa,6,6,"{'ADJ': 5, 'NOUN': 1}"
ār,6,6,{'VERB': 6}
kuyava,6,6,{'NOUN': 6}
kṣīra,6,6,{'NOUN': 6}
aṃhu,6,6,{'NOUN': 6}
citratama,6,6,{'ADJ': 6}
tāvat,6,5,"{'ADJ': 5, 'ADV': 1}"
druhyu,6,4,{'NOUN': 6}
chid,6,6,"{'VERB': 5, 'ADJ': 1}"
viśvadevya,6,6,{'ADJ': 6}
agohya,6,5,{'ADJ': 6}
apasyā,6,5,{'NOUN': 6}
avyathi,6,6,{'ADJ': 6}
viśpalā,6,6,{'NOUN': 6}
pariyā,6,6,{'VERB': 6}
kapardin,6,5,{'ADJ': 6}
abhriya,6,5,"{'NOUN': 3, 'ADJ': 3}"
tugra,6,6,{'NOUN': 6}
vṛkī,6,5,{'NOUN': 6}
viśvaka,6,4,{'NOUN': 6}
tvāṣṭra,6,5,"{'ADJ': 4, 'NOUN': 2}"
akra,6,6,"{'ADJ': 1, 'NOUN': 5}"
vrā,6,6,{'NOUN': 6}
sudṛś,6,6,{'ADJ': 6}
prabhṛtha,6,5,{'NOUN': 6}
sadṛśa,6,5,{'ADJ': 6}
niṣka,6,6,{'NOUN': 6}
śreṇi,6,6,{'NOUN': 6}
śuṣmintama,6,5,{'ADJ': 6}
śravasyā,6,6,{'NOUN': 6}
arakṣas,6,6,{'ADJ': 6}
śārada,6,5,"{'ADJ': 4, 'NOUN': 2}"
svarṣāti,6,6,{'NOUN': 6}
gaveṣaṇa,6,5,{'ADJ': 6}
śrāvay,6,6,{'VERB': 6}
ghuṣ,6,6,{'VERB': 6}
rerih,6,6,{'VERB': 6}
sidhra,6,6,{'ADJ': 6}
yodha,6,6,{'NOUN': 6}
coda,6,6,"{'ADJ': 3, 'NOUN': 3}"
niṃs,6,6,{'VERB': 6}
saṃdṛṣṭi,6,6,{'NOUN': 6}
itaūti,6,6,{'ADJ': 6}
śocay,6,5,{'VERB': 6}
pravid,6,6,"{'VERB': 5, 'NOUN': 1}"
dhraj,6,6,{'VERB': 6}
akava,6,6,{'ADJ': 6}
tṛṇa,6,5,{'NOUN': 6}
nivat,6,6,{'NOUN': 6}
gavyā,6,6,{'NOUN': 6}
bandhana,6,5,"{'NOUN': 3, 'ADJ': 3}"
aśna,6,6,"{'ADJ': 2, 'NOUN': 4}"
cākaś,6,5,{'VERB': 6}
miṣ,6,6,{'VERB': 6}
bhagavat,6,3,{'ADJ': 6}
prapatha,6,3,{'NOUN': 6}
eta,6,5,"{'NOUN': 4, 'ADJ': 2}"
viṣā,6,5,{'VERB': 6}
stut,6,5,{'NOUN': 6}
miyedha,6,5,{'NOUN': 6}
antitas,6,6,{'ADV': 6}
syandra,6,5,{'ADJ': 6}
niṣṭhā,6,6,"{'VERB': 1, 'NOUN': 3, 'ADJ': 2}"
taruṇa,6,6,{'ADJ': 6}
prayuj,6,6,"{'NOUN': 5, 'VERB': 1}"
iriṇa,6,4,{'NOUN': 6}
arday,6,6,{'VERB': 6}
varas,6,4,{'NOUN': 6}
yakṣa,6,6,{'NOUN': 6}
bhṛt,6,5,{'ADJ': 6}
avahan,6,6,{'VERB': 6}
goṣṭha,6,5,{'NOUN': 6}
hariṣṭhā,6,3,{'ADJ': 6}
vidhartṛ,6,6,{'NOUN': 6}
svarṇara,6,6,{'NOUN': 6}
barhiṣad,6,5,"{'ADJ': 2, 'NOUN': 4}"
ādeva,6,5,{'ADJ': 6}
ghṛ,6,5,{'VERB': 6}
śmaśru,6,5,{'NOUN': 6}
vyath,6,6,{'VERB': 6}
āhanas,6,5,{'ADJ': 6}
cumuri,6,6,{'NOUN': 6}
brahmaṇy,6,5,{'VERB': 6}
cyavana,6,5,"{'ADJ': 5, 'NOUN': 1}"
hvaras,6,6,{'NOUN': 6}
yathāvaśam,6,6,{'ADV': 6}
krudh,6,6,{'VERB': 6}
garta,6,5,{'NOUN': 6}
ṛjipya,6,5,{'ADJ': 6}
ajuṣṭa,6,6,{'ADJ': 6}
pradakṣiṇit,6,6,{'ADV': 6}
veviṣ,6,6,{'VERB': 6}
ghṛtācī,6,6,{'NOUN': 6}
abhiyuj,6,6,{'NOUN': 6}
hatha,6,5,{'NOUN': 6}
daiva,6,6,{'ADJ': 6}
stoka,6,2,{'NOUN': 6}
tuvikūrmi,6,6,{'ADJ': 6}
dediś,6,6,{'VERB': 6}
yaśastara,6,6,{'ADJ': 6}
tumra,6,6,{'ADJ': 6}
vadhūyu,6,6,{'ADJ': 6}
paśumat,6,6,{'ADJ': 6}
āgamiṣṭha,6,5,{'ADJ': 6}
muṣka,6,6,{'NOUN': 6}
svatavas,6,6,{'ADJ': 6}
urvaśī,6,4,{'NOUN': 6}
svañc,6,6,{'ADJ': 6}
kṣāman,6,6,{'NOUN': 6}
paruṣṇī,6,5,{'NOUN': 6}
upamāti,6,6,{'NOUN': 6}
kanīyas,6,5,{'ADJ': 6}
dīna,6,6,{'ADJ': 6}
maghatti,6,6,{'NOUN': 6}
mukha,6,4,{'NOUN': 6}
nij,6,6,{'VERB': 6}
indrābṛhaspati,6,1,{'NOUN': 6}
prajāpati,6,6,{'NOUN': 6}
mānava,6,3,"{'NOUN': 5, 'ADJ': 1}"
vidhātṛ,6,5,{'NOUN': 6}
vihan,6,6,{'VERB': 6}
nṛṣadana,6,6,{'NOUN': 6}
varūthya,6,5,{'ADJ': 6}
usriya,6,5,"{'ADJ': 5, 'NOUN': 1}"
ruśama,6,4,{'NOUN': 6}
svarvid,6,6,{'ADJ': 6}
gāthā,6,6,{'NOUN': 6}
yajus,6,6,{'NOUN': 6}
irāvat,6,6,{'ADJ': 6}
dāru,6,6,"{'NOUN': 5, 'ADJ': 1}"
ānī,6,6,{'VERB': 6}
itara,6,3,{'PRON': 6}
codana,6,6,{'ADJ': 6}
valgu,6,6,{'ADJ': 6}
abhiṣṭu,6,5,{'VERB': 6}
vyañj,6,6,{'VERB': 6}
iṣkṛ,6,5,{'VERB': 6}
adhas,6,5,{'ADV': 6}
kāṇva,6,5,{'NOUN': 6}
śatavat,6,5,{'ADJ': 6}
kṛtvan,6,6,{'ADJ': 6}
sṛp,6,6,{'VERB': 6}
kati,6,3,{'ADV': 6}
ājya,6,6,{'NOUN': 6}
sumitra,6,2,{'NOUN': 6}
devāpi,6,1,{'NOUN': 6}
jyākā,6,1,{'NOUN': 6}
dhātama,5,5,{'ADJ': 5}
aṇu,5,5,{'ADJ': 5}
manday,5,5,{'VERB': 5}
saṃstha,5,5,"{'NOUN': 4, 'ADJ': 1}"
yavay,5,5,{'VERB': 5}
muṣṭi,5,5,{'NOUN': 5}
vṛṣantama,5,4,{'ADJ': 5}
juṣṭi,5,5,{'NOUN': 5}
cātana,5,5,{'ADJ': 5}
naktoṣāsā,5,5,{'NOUN': 5}
araṃkṛt,5,5,{'ADJ': 5}
pāyay,5,5,{'VERB': 5}
vaṣaṭ,5,4,{'ADV': 5}
neṣṭra,5,4,{'NOUN': 5}
anukāma,5,5,"{'ADJ': 3, 'NOUN': 2}"
sadhastuti,5,5,{'NOUN': 5}
anādhṛṣṭa,5,5,{'ADJ': 5}
vibhaktṛ,5,5,{'ADJ': 5}
indrāṇī,5,4,{'NOUN': 5}
prāvitṛ,5,5,{'NOUN': 5}
āj,5,5,{'VERB': 5}
abhidruh,5,5,"{'VERB': 2, 'ADJ': 3}"
śap,5,5,{'VERB': 5}
nīcīna,5,5,{'ADJ': 5}
adhama,5,5,{'ADJ': 5}
sāmrājya,5,4,"{'NOUN': 4, 'ADJ': 1}"
drāpi,5,5,{'NOUN': 5}
citrabhānu,5,5,{'NOUN': 5}
ulūkhala,5,1,{'NOUN': 5}
jambhay,5,5,{'VERB': 5}
śvātra,5,5,"{'NOUN': 3, 'ADJ': 2}"
bhṛmi,5,5,"{'ADJ': 3, 'NOUN': 2}"
añjas,5,4,"{'ADV': 2, 'NOUN': 3}"
nirudh,5,5,{'VERB': 5}
apidhā,5,4,{'VERB': 5}
dhanū,5,5,{'NOUN': 5}
pṛtanyu,5,5,"{'ADJ': 1, 'NOUN': 4}"
tugrya,5,4,"{'ADJ': 1, 'NOUN': 4}"
śatrūy,5,5,{'VERB': 5}
rāsabha,5,5,{'NOUN': 5}
idānīm,5,5,{'ADV': 5}
jāna,5,5,{'NOUN': 5}
abhijñu,5,5,{'ADV': 5}
vāśrā,5,5,{'NOUN': 5}
panasyu,5,5,{'ADJ': 5}
panīyas,5,5,{'ADJ': 5}
vepay,5,5,{'VERB': 5}
upabrū,5,5,{'VERB': 5}
vartṛ,5,5,{'ADJ': 5}
paribādh,5,5,"{'NOUN': 4, 'VERB': 1}"
praskaṇva,5,5,{'NOUN': 5}
sahūti,5,5,{'NOUN': 5}
sādhuyā,5,4,{'ADV': 5}
aruṇapsu,5,5,{'ADJ': 5}
naptī,5,5,{'NOUN': 5}
vamra,5,5,{'NOUN': 5}
dṛṃhay,5,5,{'VERB': 5}
vacasyu,5,5,{'ADJ': 5}
jarhṛṣ,5,5,{'VERB': 5}
papri,5,5,{'ADJ': 5}
ghṛṇā,5,5,{'NOUN': 5}
nyṛṣ,5,5,{'VERB': 5}
barhay,5,5,{'VERB': 5}
drāghīyas,5,4,{'ADJ': 5}
śākina,5,5,{'ADJ': 5}
vayya,5,5,{'NOUN': 5}
dambhay,5,5,{'VERB': 5}
śevṛdha,5,5,{'ADJ': 5}
purodhā,5,5,{'VERB': 5}
prabrū,5,5,{'VERB': 5}
tviṣīmat,5,5,{'ADJ': 5}
kṣmā,5,5,{'NOUN': 5}
gūrti,5,5,{'NOUN': 5}
tejas,5,5,{'NOUN': 5}
sthāpay,5,5,{'VERB': 5}
harṣay,5,5,{'VERB': 5}
prabhūvasu,5,5,{'ADJ': 5}
parvaśas,5,4,{'ADV': 5}
śāsus,5,4,{'NOUN': 5}
acchokti,5,4,{'NOUN': 5}
upahvara,5,5,{'NOUN': 5}
yuvatī,5,5,{'NOUN': 5}
kiraṇa,5,5,{'NOUN': 5}
rajastur,5,5,{'ADJ': 5}
ṛtīṣah,5,5,{'ADJ': 5}
cat,5,4,{'VERB': 5}
prāṇa,5,5,{'NOUN': 5}
dhiyaṃdhā,5,5,{'ADJ': 5}
bhuraṇyu,5,5,{'ADJ': 5}
śruṣ,5,5,{'VERB': 5}
kṣapāvant,5,5,{'NOUN': 5}
tviṣi,5,5,{'NOUN': 5}
niṣic,5,5,{'VERB': 5}
vevid,5,5,{'VERB': 5}
chāyā,5,5,{'NOUN': 5}
purvaṇīka,5,5,{'ADJ': 5}
satrāsāh,5,5,{'ADJ': 5}
cetu,5,5,{'NOUN': 5}
mārḍīka,5,5,{'NOUN': 5}
dudh,5,5,{'VERB': 5}
yāt,5,4,{'ADV': 5}
udīr,5,5,{'VERB': 5}
parādā,5,5,{'VERB': 5}
arthay,5,5,{'VERB': 5}
naviṣṭha,5,5,{'ADJ': 5}
prāvī,5,5,{'ADJ': 5}
jihma,5,5,{'ADJ': 5}
sut,5,5,"{'NOUN': 2, 'ADJ': 3}"
dhiyaṃjinva,5,5,{'ADJ': 5}
jaras,5,5,{'NOUN': 5}
vasavāna,5,5,{'NOUN': 5}
krama,5,5,{'NOUN': 5}
avīra,5,5,{'ADJ': 5}
cikits,5,5,{'VERB': 5}
āyuj,5,5,"{'ADJ': 1, 'VERB': 4}"
śvaghnin,5,5,{'NOUN': 5}
aṃhati,5,4,{'NOUN': 5}
potṛ,5,5,{'NOUN': 5}
dhāpay,5,5,{'VERB': 5}
sampṛc,5,5,{'VERB': 5}
tvakṣas,5,5,{'NOUN': 5}
ṛjrāśva,5,3,{'NOUN': 5}
vṛṣaṇvat,5,5,{'ADJ': 5}
vibhid,5,4,{'VERB': 5}
snā,5,5,"{'VERB': 3, 'ADJ': 2}"
kad,5,4,{'ADV': 5}
parśu,5,5,{'NOUN': 5}
śiśna,5,5,{'NOUN': 5}
vibhāga,5,5,{'NOUN': 5}
āhava,5,5,{'NOUN': 5}
svāhākṛta,5,5,{'ADJ': 5}
vidman,5,5,{'NOUN': 5}
ṛbhumat,5,5,{'ADJ': 5}
subhara,5,3,{'ADJ': 5}
jas,5,5,{'VERB': 5}
dhanasā,5,4,{'ADJ': 5}
parāvṛj,5,5,"{'NOUN': 4, 'VERB': 1}"
vartikā,5,5,{'NOUN': 5}
udaj,5,5,{'VERB': 5}
vipā,5,5,"{'VERB': 4, 'NOUN': 1}"
jānī,5,5,{'NOUN': 5}
kṛśānu,5,5,{'NOUN': 5}
apnas,5,4,{'NOUN': 5}
kṣayadvīra,5,2,{'NOUN': 5}
heman,5,5,{'NOUN': 5}
vāray,5,5,{'VERB': 5}
bāra,5,5,{'NOUN': 5}
vadhrimatī,5,5,{'NOUN': 5}
anupūrva,5,3,{'ADJ': 5}
pedu,5,5,{'NOUN': 5}
carṣaṇīsah,5,5,{'ADJ': 5}
apracetas,5,5,{'ADJ': 5}
apsas,5,5,{'NOUN': 5}
martyatrā,5,5,{'ADV': 5}
ācar,5,5,{'VERB': 5}
suvrata,5,5,{'ADJ': 5}
romaśa,5,4,"{'ADJ': 3, 'NOUN': 2}"
ṛṣu,5,4,{'NOUN': 5}
jūrṇi,5,5,"{'ADJ': 1, 'NOUN': 4}"
saṃcakṣ,5,5,{'VERB': 5}
dhiti,5,5,{'NOUN': 5}
prāsah,5,4,"{'ADJ': 2, 'NOUN': 3}"
dohas,5,4,{'NOUN': 5}
nannam,5,5,{'VERB': 5}
pañcāśat,5,5,{'NOUN': 5}
avapāna,5,5,{'NOUN': 5}
anuśās,5,4,{'VERB': 5}
prayā,5,5,"{'VERB': 4, 'NOUN': 1}"
bhand,5,5,{'VERB': 5}
palita,5,5,"{'ADJ': 4, 'NOUN': 1}"
taturi,5,5,{'ADJ': 5}
dvaya,5,4,"{'NOUN': 4, 'ADJ': 1}"
toda,5,4,{'NOUN': 5}
pastyāvat,5,5,{'ADJ': 5}
skabhāy,5,5,{'VERB': 5}
samaraṇa,5,4,{'NOUN': 5}
vibhū,5,4,"{'VERB': 3, 'NOUN': 2}"
peru,5,5,"{'ADJ': 3, 'NOUN': 2}"
pūrvacitti,5,5,{'NOUN': 5}
śatagvin,5,5,{'ADJ': 5}
mahin,5,4,{'ADJ': 5}
bhūyiṣṭha,5,4,{'ADJ': 5}
yantṛ,5,5,{'NOUN': 5}
varvṛt,5,4,{'VERB': 5}
purīṣin,5,5,{'ADJ': 5}
