lemma,count,distinct_hymns,upos_breakdown
mahi,198,156,"{'ADJ': 194, 'NOUN': 4}"
svar,197,150,"{'VERB': 26, 'NOUN': 144, 'ADV': 27}"
aś,196,157,{'VERB': 196}
ugra,196,144,{'ADJ': 196}
śata,196,137,{'NUM': 196}
ojas,194,134,{'NOUN': 194}
adha,194,140,{'ADV': 194}
sṛj,192,146,{'VERB': 192}
śam,190,86,"{'ADV': 40, 'VERB': 29, 'NOUN': 121}"
ati,188,145,{'ADV': 188}
vac,188,158,{'VERB': 188}
martya,187,140,"{'NOUN': 148, 'ADJ': 39}"
satya,186,152,"{'ADJ': 153, 'NOUN': 33}"
śavas,186,129,{'NOUN': 186}
namas,185,144,{'NOUN': 185}
car,185,149,{'VERB': 185}
vṛṣabha,185,133,"{'NOUN': 182, 'ADJ': 3}"
vājin,183,139,"{'NOUN': 103, 'ADJ': 80}"
havis,182,130,{'NOUN': 182}
vrata,182,140,{'NOUN': 182}
savitṛ,182,92,{'NOUN': 182}
ha,182,125,"{'PART': 181, 'NOUN': 1}"
rādhas,181,137,{'NOUN': 181}
bhuvana,181,131,{'NOUN': 181}
citra,178,134,"{'ADJ': 174, 'NOUN': 4}"
acchā,176,146,{'ADV': 176}
sahas,175,132,"{'NOUN': 173, 'ADJ': 2}"
śūra,174,130,"{'ADJ': 13, 'NOUN': 161}"
ghṛta,174,128,{'NOUN': 174}
aditi,174,112,"{'NOUN': 172, 'ADJ': 2}"
barhis,173,134,{'NOUN': 173}
havya,172,129,{'NOUN': 172}
ava,172,129,{'ADV': 172}
vajra,171,109,{'NOUN': 171}
saptan,170,115,{'NUM': 170}
tṛ,168,135,"{'VERB': 167, 'NOUN': 1}"
prathama,168,135,{'ADJ': 168}
vaś,165,120,{'VERB': 165}
sac,163,138,{'VERB': 163}
ji,163,111,{'VERB': 163}
bhadra,162,111,"{'ADJ': 153, 'NOUN': 9}"
vāyu,161,82,{'NOUN': 161}
hava,161,116,{'NOUN': 161}
śravas,159,138,{'NOUN': 159}
gā,157,133,"{'VERB': 150, 'ADJ': 7}"
vīrya,157,132,{'NOUN': 157}
rodas,157,121,{'NOUN': 157}
pṛ,157,123,{'VERB': 157}
jyotis,155,118,{'NOUN': 155}
antar,155,124,{'ADV': 155}
pathin,155,132,{'NOUN': 155}
sakhya,152,102,{'NOUN': 152}
uktha,150,124,{'NOUN': 150}
tva,150,96,"{'NOUN': 123, 'PRON': 27}"
vas,150,103,"{'VERB': 149, 'NOUN': 1}"
samudra,149,115,{'NOUN': 149}
nī,149,123,"{'VERB': 148, 'ADJ': 1}"
vāc,148,106,{'NOUN': 148}
mati,147,114,{'NOUN': 147}
putra,147,120,{'NOUN': 147}
duh,147,113,"{'VERB': 144, 'NOUN': 3}"
dṛś,146,118,"{'VERB': 131, 'NOUN': 15}"
dhārā,146,93,{'NOUN': 146}
rajas,144,117,{'NOUN': 144}
dhana,143,107,{'NOUN': 143}
īḍ,142,110,{'VERB': 142}
śrī,142,119,"{'NOUN': 106, 'VERB': 36}"
marta,142,119,{'NOUN': 142}
pūrva,141,120,"{'PRON': 140, 'NOUN': 1}"
īś,141,119,{'VERB': 141}
śuci,141,101,"{'ADJ': 140, 'NOUN': 1}"
āditya,141,76,"{'NOUN': 138, 'ADJ': 3}"
tan,140,123,"{'NOUN': 31, 'VERB': 109}"
śarman,139,104,{'NOUN': 139}
adri,139,116,{'NOUN': 139}
arc,138,99,{'VERB': 138}
ubh,138,116,"{'PRON': 134, 'VERB': 4}"
ī,137,109,"{'VERB': 128, 'ADV': 9}"
van,135,105,"{'VERB': 133, 'NOUN': 2}"
rā,135,112,{'VERB': 135}
man,135,116,{'VERB': 135}
rudra,135,78,{'NOUN': 135}
suta,134,89,{'NOUN': 134}
bhūri,133,98,{'ADJ': 133}
jātavedas,131,84,{'NOUN': 131}
dakṣa,130,111,"{'NOUN': 91, 'ADJ': 39}"
yoni,130,104,{'NOUN': 130}
vad,130,92,{'VERB': 130}
ṛṣ,130,70,{'VERB': 130}
bhaga,129,91,{'NOUN': 129}
atha,128,92,{'ADV': 128}
paś,127,97,{'VERB': 127}
śukra,127,101,"{'ADJ': 120, 'NOUN': 7}"
yatra,125,87,{'SCONJ': 125}
devī,125,85,{'NOUN': 125}
vī,125,105,"{'VERB': 121, 'ADJ': 4}"
bṛhaspati,124,59,{'NOUN': 124}
brū,123,102,{'VERB': 123}
sadā,122,116,{'ADV': 122}
pūṣan,122,71,{'NOUN': 122}
parvata,122,97,{'NOUN': 122}
dhenu,122,103,{'NOUN': 122}
ṛṣi,121,97,{'NOUN': 121}
jaritṛ,121,99,{'NOUN': 121}
ahar,121,89,{'NOUN': 121}
atra,121,94,"{'ADV': 118, 'NOUN': 3}"
vāta,120,101,{'NOUN': 120}
mānuṣa,120,105,"{'NOUN': 51, 'ADJ': 69}"
vāra,120,99,{'NOUN': 120}
aryaman,117,83,{'NOUN': 117}
san,116,83,{'VERB': 116}
tamas,116,90,{'NOUN': 116}
vacas,114,97,{'NOUN': 114}
pada,114,80,{'NOUN': 114}
niḥ,113,85,{'ADV': 113}
āt,112,84,{'ADV': 112}
sūri,112,90,{'NOUN': 112}
vidatha,112,94,{'NOUN': 112}
ratna,110,82,{'NOUN': 110}
hu,110,96,{'VERB': 110}
vana,110,89,{'NOUN': 110}
nāman,109,86,{'NOUN': 109}
sumati,108,94,"{'NOUN': 107, 'ADJ': 1}"
sma,108,76,{'PART': 108}
arka,107,86,{'NOUN': 107}
sūnu,106,93,{'NOUN': 106}
indh,106,73,{'VERB': 106}
sajoṣas,105,71,{'ADJ': 105}
ṛch,104,94,{'VERB': 104}
sāti,104,84,{'NOUN': 104}
garbha,104,81,{'NOUN': 104}
yajñiya,104,79,{'ADJ': 104}
nūnam,104,88,{'ADV': 104}
payas,104,82,{'NOUN': 104}
vayas,104,88,{'NOUN': 104}
diva,103,52,"{'NOUN': 102, 'ADJ': 1}"
pīti,103,65,{'NOUN': 103}
savana,103,77,{'NOUN': 103}
śaṃs,103,90,{'VERB': 103}
āyus,103,79,{'NOUN': 103}
pavitra,103,59,"{'NOUN': 102, 'ADJ': 1}"
enad,102,74,{'PRON': 102}
pūrvya,102,89,{'ADJ': 102}
ari,101,92,"{'ADJ': 96, 'NOUN': 5}"
sah,101,79,"{'VERB': 98, 'ADJ': 3}"
stotṛ,101,78,"{'ADJ': 94, 'NOUN': 7}"
antarikṣa,101,91,{'NOUN': 101}
sarva,101,70,{'ADJ': 101}
nāsatya,100,56,{'NOUN': 100}
andhas,100,86,{'NOUN': 100}
rakṣ,100,79,{'VERB': 100}
divya,100,83,{'ADJ': 100}
vṛt,100,85,"{'VERB': 95, 'NOUN': 5}"
āyu,99,81,"{'NOUN': 88, 'ADJ': 8, 'VERB': 3}"
viṣṇu,99,68,{'NOUN': 99}
dhāman,98,79,{'NOUN': 98}
asura,98,72,{'NOUN': 98}
śatru,97,73,{'NOUN': 97}
punar,97,62,{'ADV': 97}
gomat,97,79,{'ADJ': 97}
ruc,96,78,"{'VERB': 72, 'NOUN': 24}"
daśan,96,68,{'NUM': 96}
dūta,95,71,{'NOUN': 95}
bāhu,95,82,{'NOUN': 95}
rūpa,94,83,{'NOUN': 94}
kāma,94,82,{'NOUN': 94}
rakṣas,94,60,"{'NOUN': 89, 'ADJ': 5}"
ahi,94,67,{'NOUN': 94}
janay,94,77,{'VERB': 94}
ketu,93,82,{'NOUN': 93}
ṛbhu,93,40,"{'NOUN': 89, 'ADJ': 4}"
añj,93,76,{'VERB': 93}
śubh,92,72,"{'NOUN': 27, 'VERB': 65}"
mitrāvaruṇa,91,60,{'NOUN': 91}
rāti,91,66,"{'NOUN': 88, 'ADJ': 3}"
dīdī,91,65,{'VERB': 91}
hasta,91,79,{'NOUN': 91}
dyumna,90,71,{'NOUN': 90}
aṃhas,90,69,{'NOUN': 90}
hiraṇya,90,69,"{'NOUN': 58, 'ADJ': 32}"
rodasī,90,75,{'NOUN': 90}
sa,90,81,{'ADV': 90}
yuvan,89,82,"{'ADJ': 40, 'NOUN': 49}"
dhāray,89,66,{'VERB': 89}
pyā,89,81,{'VERB': 89}
naś,88,80,"{'VERB': 87, 'NOUN': 1}"
api,88,76,{'ADV': 88}
raśmi,87,75,{'NOUN': 87}
hā,86,74,{'VERB': 86}
agra,86,71,{'NOUN': 86}
dasyu,86,68,{'NOUN': 86}
āśu,85,71,"{'ADJ': 84, 'ADV': 1}"
yudh,85,70,"{'NOUN': 35, 'VERB': 50}"
samindh,85,69,{'VERB': 85}
śuṣma,85,79,"{'ADJ': 6, 'NOUN': 79}"
apas,84,71,"{'ADJ': 21, 'NOUN': 63}"
kṣi,84,73,{'VERB': 84}
madhumat,84,56,{'ADJ': 84}
kṛt,84,71,"{'ADJ': 75, 'VERB': 9}"
vajrin,83,64,"{'ADJ': 7, 'NOUN': 76}"
cakṣas,83,68,{'NOUN': 83}
dviṣ,83,59,"{'ADJ': 31, 'NOUN': 40, 'VERB': 12}"
iti,83,53,{'PART': 83}
bhānu,82,68,{'NOUN': 82}
śocis,82,69,{'NOUN': 82}
gṛha,82,63,{'NOUN': 82}
yu,82,67,{'VERB': 82}
arvant,81,61,{'NOUN': 81}
riṣ,81,60,"{'VERB': 68, 'NOUN': 13}"
śaṃsa,81,70,"{'NOUN': 61, 'ADJ': 20}"
sumna,81,74,"{'NOUN': 80, 'ADJ': 1}"
sacā,80,72,{'ADV': 80}
takṣ,80,64,{'VERB': 80}
manman,80,69,{'NOUN': 80}
mṛj,80,56,{'VERB': 80}
gopā,79,70,{'NOUN': 79}
carṣaṇi,79,71,"{'NOUN': 77, 'ADJ': 2}"
sadyas,79,71,{'ADV': 79}
aha,79,69,"{'PART': 48, 'NOUN': 31}"
pur,79,66,{'NOUN': 79}
daivya,79,73,"{'ADJ': 78, 'NOUN': 1}"
dhīti,79,69,{'NOUN': 79}
manu,79,68,"{'NOUN': 78, 'ADJ': 1}"
dyāvāpṛthivī,79,68,{'NOUN': 79}
yaśas,78,69,"{'ADJ': 28, 'NOUN': 50}"
vṛj,78,73,{'VERB': 78}
vidh,78,57,{'VERB': 78}
tman,78,70,{'NOUN': 78}
yama,78,52,"{'NOUN': 76, 'ADJ': 2}"
ṛtāvan,78,66,{'ADJ': 78}
aruṣa,77,64,{'ADJ': 77}
ās,77,72,"{'VERB': 52, 'NOUN': 25}"
bhaj,77,64,{'VERB': 77}
ūrdhva,77,66,{'ADJ': 77}
muc,77,63,"{'VERB': 76, 'ADJ': 1}"
pāvaka,76,63,"{'ADJ': 48, 'NOUN': 28}"
samāna,76,60,"{'ADJ': 74, 'NOUN': 2}"
vṛtrahan,76,53,{'NOUN': 76}
cāru,76,68,{'ADJ': 76}
māyā,75,62,{'NOUN': 75}
jihvā,75,63,{'NOUN': 75}
cana,75,62,{'PART': 75}
ūrmi,75,58,{'NOUN': 75}
cakra,75,57,{'NOUN': 75}
kṣaya,74,58,"{'NOUN': 71, 'ADJ': 3}"
gha,74,59,{'PART': 74}
yadi,74,58,{'SCONJ': 74}
śri,74,65,{'VERB': 74}
parama,74,63,{'ADJ': 74}
saha,74,61,"{'ADV': 70, 'ADJ': 4}"
ajara,74,58,{'ADJ': 74}
rāj,73,63,"{'VERB': 59, 'NOUN': 14}"
svadhā,73,62,{'NOUN': 73}
bhī,73,63,"{'VERB': 53, 'NOUN': 20}"
manyu,73,49,{'NOUN': 73}
prajā,72,57,{'NOUN': 72}
ah,72,57,{'VERB': 72}
aṅgiras,71,54,{'NOUN': 71}
paśu,71,66,{'NOUN': 71}
ūrj,71,63,{'NOUN': 71}
an,71,61,"{'PART': 68, 'VERB': 3}"
amartya,71,61,"{'ADJ': 69, 'NOUN': 2}"
nū,70,64,{'VERB': 70}
itthā,69,65,{'ADV': 69}
sarasvatī,69,44,{'NOUN': 69}
vīti,69,55,{'NOUN': 69}
pinv,69,55,{'VERB': 69}
manus,69,60,{'NOUN': 69}
mandra,69,62,{'ADJ': 69}
budh,69,57,"{'VERB': 68, 'ADJ': 1}"
kaṃ,69,54,{'PART': 69}
jṛ,68,61,{'VERB': 68}
vārya,68,64,"{'NOUN': 54, 'ADJ': 14}"
hṛd,68,65,{'NOUN': 68}
grah,68,58,{'VERB': 68}
pat,68,59,{'VERB': 68}
yāman,68,60,{'NOUN': 68}
śaśvat,68,62,"{'ADJ': 44, 'ADV': 23, 'NOUN': 1}"
duhitṛ,68,50,{'NOUN': 68}
tanaya,68,63,"{'NOUN': 22, 'ADJ': 46}"
bhara,68,58,"{'NOUN': 67, 'ADJ': 1}"
viśvatas,67,64,{'ADV': 67}
jū,67,58,"{'VERB': 49, 'ADJ': 14, 'NOUN': 4}"
sudānu,67,50,{'ADJ': 67}
tris,67,34,{'ADV': 67}
pratna,67,55,{'ADJ': 67}
śatakratu,66,41,{'NOUN': 66}
pārthiva,66,62,"{'ADJ': 63, 'NOUN': 3}"
